,primaryName,avg_rating
0,Bozidar 'Bota' Nikolic,8.8
1,Claude Lanzmann,8.7
2,Irvin Kershner,8.7
3,Orhan Aksoy,8.7
4,I.V. Sasi,8.7
5,Péter Bacsó,8.6
6,Sergiu Nicolaescu,8.5
7,Elem Klimov,8.4
8,Ergin Orbey,8.4
9,Ivo Caprino,8.4
10,Moustapha Akkad,8.399999999999999
11,Zeki Ökten,8.333333333333334
12,Jonathan Demme,8.333333333333334
13,Attila Dargay,8.3
14,Tunç Basaran,8.3
15,Hrishikesh Mukherjee,8.3
16,Vijay Anand,8.3
17,Hiroshi Teshigahara,8.2
18,Malik Bendjelloul,8.2
19,Grigoriy Chukhray,8.2
20,Atif Yilmaz,8.125
21,Zaza Urushadze,8.1
22,Goran Paskaljevic,8.1
23,Rajesh Pillai,8.1
24,Al Reinert,8.1
25,Eleanor Coppola,8.1
26,George Hickenlooper,8.1
27,Ljubisa Samardzic,8.1
28,Alejandro Doria,8.0
29,Edward Yang,8.0
30,Sachy,8.0
31,Daniel Petrie,8.0
32,Juraj Herz,8.0
33,Yasuhiro Takemoto,8.0
34,Guy Green,8.0
35,Kartal Tibet,7.9799999999999995
36,D.A. Pennebaker,7.95
37,Vladimir Menshov,7.95
38,Kon Ichikawa,7.95
39,Kundan Shah,7.95
40,Eldar Ryazanov,7.933333333333333
41,Ettore Scola,7.933333333333333
42,Georgiy Daneliya,7.933333333333333
43,Leon Gast,7.9
44,Rob Stewart,7.9
45,Luis García Berlanga,7.9
46,Kihachi Okamoto,7.9
47,Carlos Saura,7.9
48,Les Blank,7.9
49,Anthony Harvey,7.9
50,Vicco von Bülow,7.9
51,Terry Jones,7.8999999999999995
52,Bruce Sinofsky,7.8999999999999995
53,Kaneto Shindô,7.866666666666667
54,Metin Erksan,7.85
55,Bernhard Wicki,7.85
56,Dino Risi,7.85
57,Ermanno Olmi,7.85
58,Nishikant Kamat,7.833333333333333
59,Satoshi Kon,7.825
60,Theodoros Angelopoulos,7.824999999999999
61,Jacques Perrin,7.800000000000001
62,Bo Hu,7.8
63,Paul Bogart,7.8
64,Boyd Kirkland,7.8
65,Leiji Matsumoto,7.8
66,Kevin Jarre,7.8
67,Jack Haley Jr.,7.8
68,George P. Cosmatos,7.8
69,Gabriel Axel,7.8
70,Ivan Reitman,7.8
71,Peter Ustinov,7.8
72,Norman Panama,7.8
73,Mel Stuart,7.8
74,Ingmar Bergman,7.795454545454547
75,Dariush Mehrjui,7.766666666666667
76,K.V. Anand,7.75
77,Claude Berri,7.733333333333333
78,Ronit Elkabetz,7.7
79,Vladimir Motyl,7.7
80,Isao Takahata,7.7
81,Chris Marker,7.7
82,Jim Handley,7.7
83,Ahmet Uluçay,7.7
84,Toshio Matsumoto,7.7
85,Ford Beebe Jr.,7.7
86,Cristian Nemescu,7.7
87,Jimmy T. Murakami,7.7
88,George Sluizer,7.7
89,Aleksandr Rogozhkin,7.7
