,region,genre,number_of_movies,avg_rating
0,JP,Adventure,8347,6.128069965256983
1,RO,Action,3872,6.09013429752066
2,IL,Comedy,3252,6.304551045510453
3,SG,Mystery,1637,5.888210140500918
4,AE,Sci-Fi,460,5.6582608695652175
5,TH,History,202,6.933168316831683
6,BA,Thriller,192,5.855729166666666
7,XAS,War,7,5.971428571428571
8,PK,Thriller,71,6.48450704225352
9,DO,Crime,53,6.520754716981132
10,SA,Comedy,46,6.293478260869565
11,SE,Romance,6981,6.300143245953304
12,NL,Crime,3022,6.310522832561218
13,BE,War,983,6.515768056968464
14,RS,Drama,8015,6.667436057392392
15,MX,History,1164,6.708934707903781
16,HR,Horror,818,5.876283618581907
17,ES,Family,2959,6.006387293004395
18,PT,Documentary,1407,7.123454157782514
19,PE,Musical,79,6.543037974683544
20,NZ,Musical,85,6.508235294117648
21,NG,Musical,8,6.85
22,EG,Horror,953,5.447429171038826
23,PT,Adult,497,5.77625754527163
24,BD,Animation,104,6.270192307692309
25,GT,Animation,12,6.733333333333333
26,VE,Drama,2241,6.483846497099509
27,US,Documentary,29312,7.205796260917024
28,CH,Comedy,882,6.207256235827666
29,FI,Sport,629,6.3559618441971395
30,AT,Thriller,1018,6.372888015717092
31,AU,Horror,7729,5.003286324233405
32,NO,Sport,254,6.556692913385827
33,CN,Family,820,6.347682926829267
34,UA,Western,171,6.552631578947368
35,TH,Action,1955,6.199028132992327
36,FR,Adult,1697,5.1109605185621705
37,KZ,Horror,266,5.859774436090224
38,XWW,Sport,658,6.422492401215806
39,LK,Family,35,6.92
40,UG,Action,13,8.376923076923077
41,FR,Drama,41222,6.291628256756092
42,XWW,War,2415,6.460165631469979
43,ES,Unknown,561,5.885918003565063
44,DK,Family,1706,6.106799531066822
45,AR,Mystery,2110,6.174265402843601
46,GB,Musical,2619,6.1987781596029015
47,TW,History,881,6.833030646992054
48,IE,War,221,6.549773755656108
49,NL,Animation,886,6.405417607223477
50,YUCS,Adventure,23,6.895652173913044
51,XKO,Romance,18,6.733333333333333
52,XSA,Action,29,6.199999999999999
53,MD,Biography,6,6.383333333333333
54,PL,Action,7529,5.705658121928544
55,RU,Horror,6541,4.93247209906742
56,RO,Horror,1464,5.607445355191258
57,NL,Action,3416,5.981586651053861
58,RS,Film-Noir,51,7.458823529411766
59,UY,Western,119,6.563865546218487
60,NO,Action,2979,5.980396106075859
61,LT,Horror,777,5.993436293436293
62,KZ,Drama,894,7.042281879194632
63,UZ,Animation,195,6.97076923076923
64,MK,Action,85,6.651764705882353
65,NP,History,13,7.915384615384616
66,LK,Crime,26,6.726923076923076
67,XWW,Romance,9596,6.12498957899125
68,BG,Drama,11718,6.525456562553339
69,XWW,Comedy,19922,5.97813472542917
70,PT,Musical,1298,6.228967642526964
71,GB,Documentary,18096,7.105962643678162
72,CSHH,Unknown,195,5.569230769230769
73,LT,Family,572,6.150174825174825
74,RO,Sport,261,6.493103448275863
75,BG,Animation,624,6.424519230769231
76,SK,Mystery,575,6.564521739130434
77,CL,Family,272,6.293014705882352
78,DZ,Drama,260,6.752692307692307
79,CM,Comedy,34,6.273529411764707
80,BO,Adventure,45,6.39111111111111
81,AF,Action,6,6.966666666666668
82,ES,News,40,7.31
83,TJ,Animation,13,6.984615384615383
84,NO,Horror,1378,5.52844702467344
85,SE,Documentary,3302,7.037068443367655
86,IT,Music,1475,6.564474576271187
87,SE,Film-Noir,582,6.7012027491408945
88,ID,Action,2161,6.033873206848679
89,NZ,Horror,408,5.802696078431373
90,EC,Unknown,59,6.059322033898305
91,ID,Musical,108,6.469444444444446
92,XKO,Sci-Fi,6,6.050000000000001
93,AL,Fantasy,52,6.476923076923076
94,GT,Mystery,8,5.4750000000000005
95,US,Talk-Show,24,6.0874999999999995
96,CA,Reality-TV,18,6.316666666666666
97,BO,Documentary,21,7.128571428571428
98,DO,Music,12,7.191666666666666
99,SE,Sport,635,6.3251968503937
100,XYU,Thriller,480,6.680833333333335
101,XPI,Documentary,8,5.7124999999999995
102,PA,Romance,71,6.619718309859155
103,XEU,Musical,42,6.095238095238095
104,XWG,Sci-Fi,980,5.500918367346939
105,XEU,Horror,243,5.089711934156378
106,MA,Drama,209,6.728708133971292
107,IS,Horror,62,5.837096774193548
108,YUCS,Documentary,12,7.616666666666666
109,SE,Family,2216,6.0723826714801445
110,FI,Mystery,2505,6.330139720558883
111,NL,Comedy,5272,6.135584218512896
112,IN,Drama,44092,6.434491517735636
113,BG,History,817,6.795838433292533
114,PL,Documentary,4939,7.072585543632314
115,BG,Mystery,1554,6.205212355212355
116,VE,Fantasy,321,5.8591900311526475
117,TH,Comedy,1905,6.134645669291339
118,GT,Comedy,30,6.3133333333333335
119,AL,Adventure,182,6.718131868131868
120,XWW,Adult,429,5.342424242424242
121,BY,Biography,15,7.120000000000001
122,DO,Comedy,185,6.21027027027027
123,IS,Adventure,302,6.640397350993377
124,DO,Drama,238,6.6319327731092415
125,VN,Animation,832,6.553365384615385
126,PY,Adventure,19,6.389473684210526
127,XEU,Western,38,6.057894736842105
128,KZ,Documentary,11,7.554545454545454
129,XKO,Animation,16,6.062499999999999
130,XAS,Music,7,6.5
131,CD,Documentary,6,6.8999999999999995
132,SA,Fantasy,9,5.822222222222223
133,US,Western,6569,5.909225148424415
134,PL,Mystery,3478,5.9891891891891875
135,SUHH,Drama,14452,6.56284251314697
136,UY,Musical,137,6.518248175182481
137,PH,Comedy,5505,6.051516802906448
138,UY,Film-Noir,66,7.28939393939394
139,LT,Fantasy,670,6.260298507462688
140,PA,Action,74,6.922972972972974
141,VN,Action,3118,6.113919178960873
142,TH,Horror,1245,5.506104417670683
143,PH,Unknown,48,6.241666666666666
144,TJ,Mystery,6,6.466666666666666
145,DK,Crime,4156,6.327478344562079
146,DK,Sport,304,6.5121710526315795
147,BE,History,635,6.506929133858269
148,AU,Film-Noir,582,6.642268041237114
149,HK,Action,7255,5.968063404548586
150,BE,Horror,834,5.759352517985611
151,XYU,Biography,219,6.8611872146118715
152,UY,War,205,7.123414634146342
153,HK,Biography,558,6.979928315412186
154,PH,Documentary,1060,6.910188679245281
155,ZW,Drama,11,7.199999999999999
156,LU,Thriller,53,6.033962264150943
157,MY,War,16,6.843749999999999
158,FR,Unknown,1121,5.819892952720785
159,XWW,Adventure,5907,6.006788555950569
160,UA,Family,1178,6.040407470288625
161,SK,War,219,7.091324200913243
162,AZ,Thriller,162,6.8530864197530885
163,LB,Romance,46,6.060869565217391
164,IE,Sci-Fi,264,6.205303030303031
165,PK,Animation,78,6.526923076923078
166,EC,Music,531,6.663088512241056
167,DDDE,Drama,2659,6.660549078600976
168,EG,Music,152,6.280263157894736
169,RU,Thriller,7693,5.470037696607306
170,TR,Documentary,1193,6.991701592623638
171,AZ,Biography,72,7.483333333333334
172,LU,Drama,252,6.612698412698413
173,SG,Documentary,936,6.920405982905983
174,DO,Romance,68,6.202941176470588
175,MT,Action,6,4.966666666666666
176,UA,Drama,8271,6.618244468625321
177,ES,Documentary,4640,7.079547413793103
178,NO,Mystery,1252,6.2300319488817895
179,BG,Action,3880,5.9205670103092745
180,NO,Biography,825,6.872000000000001
181,YUCS,Fantasy,16,6.85625
182,KR,Biography,452,7.000663716814159
183,SI,Sci-Fi,363,6.449862258953169
184,XEU,Action,307,5.68273615635179
185,TN,Biography,22,7.877272727272726
186,LB,Animation,24,6.483333333333334
