,genre,total_runtime_minutes,average_rating,average_runtime_minutes,num_movies
0,Documentary,43947,7.67270642201835,100.79587155963303,436
1,War,32481,7.615413533834584,122.10902255639098,266
2,Family,26402,7.544628099173555,109.09917355371901,242
3,Music,28900,7.535156250000003,112.890625,256
4,Animation,33165,7.526666666666666,96.1304347826087,345
5,Musical,14845,7.52300884955752,131.3716814159292,113
6,Sport,18948,7.5106250000000045,118.425,160
7,History,50908,7.507960199004977,126.636815920398,402
8,Drama,546323,7.503690762175154,119.31054815461891,4579
9,Adventure,91914,7.500756620428747,115.90668348045398,793
10,Sci-Fi,23711,7.498076923076927,113.9951923076923,208
11,Action,137134,7.496877869605139,125.9265381083563,1089
12,Biography,83771,7.4940145985401445,122.2934306569343,685
13,Fantasy,33144,7.488054607508534,113.11945392491468,293
14,Thriller,86800,7.485636114911079,118.74145006839946,731
15,Film-Noir,10845,7.478761061946902,95.97345132743362,113
16,Crime,153779,7.477642585551331,116.94220532319392,1315
17,Mystery,53372,7.476457883369327,115.2742980561555,463
18,Romance,133882,7.45587719298246,117.44035087719298,1140
19,Comedy,204281,7.447868321640588,110.24338909875877,1853
20,Western,12695,7.413274336283187,112.34513274336283,113
21,Horror,27087,7.362403100775195,104.98837209302326,258
