,genres,avg_rating,number_of_movies,Movie_ID's
0,"Documentary,History,War",8.166666666666666,6,"['tt0090015', 'tt0071604', 'tt4908644', 'tt2309788', 'tt7905466', 'tt0436971']"
1,"Drama,Fantasy,War",8.149999999999999,2,"['tt0457430', 'tt0046478']"
2,"Animation,Drama,War",8.1,2,"['tt0095327', 'tt0090315']"
3,"Documentary,Music,Musical",8.1,2,"['tt28814949', 'tt11874226']"
4,"Adventure,Animation,Sci-Fi",7.933333333333334,3,"['tt0084315', 'tt0087544', 'tt29623480']"
5,"Animation,Biography,Drama",7.933333333333334,3,"['tt0085218', 'tt2013293', 'tt0808417']"
6,"Adventure,Documentary,Sport",7.924999999999999,4,"['tt14079374', 'tt1646967', 'tt24132732', 'tt7775622']"
7,"Documentary,History,Music",7.914285714285713,7,"['tt2531318', 'tt0066580', 'tt0082252', 'tt11422728', 'tt1417592', 'tt0459242', 'tt0064689']"
8,"Documentary,Drama,Music",7.9,2,"['tt13524234', 'tt2920540']"
9,"Crime,Film-Noir,Sport",7.85,2,"['tt0042788', 'tt0041859']"
10,"Adventure,Documentary",7.8,3,"['tt1223236', 'tt14152756', 'tt5598102']"
11,"Animation,Biography,Documentary",7.8,3,"['tt8430054', 'tt4229236', 'tt1185616']"
12,"Documentary,News",7.766666666666666,3,"['tt1286537', 'tt2084953', 'tt5929776']"
13,"Animation,Drama,Fantasy",7.758333333333333,12,"['tt0775489', 'tt1677561', 'tt9806192', 'tt9881586', 'tt5311514', 'tt8652818', 'tt2061702', 'tt0071203', 'tt0243017', 'tt0291350', 'tt0851578', 'tt9426210']"
14,"Drama,Mystery,War",7.733333333333334,3,"['tt1255953', 'tt0078788', 'tt1217070']"
15,"Drama,Film-Noir",7.722222222222222,9,"['tt0037884', 'tt0051207', 'tt0041113', 'tt0043014', 'tt0043338', 'tt0039661', 'tt0040202', 'tt0043879', 'tt0051036']"
16,"Documentary,Sport",7.717647058823529,17,"['tt0454976', 'tt6333060', 'tt6700846', 'tt2545428', 'tt3311384', 'tt0275309', 'tt0076578', 'tt4640206', 'tt0030522', 'tt1151309', 'tt7455754', 'tt7476236', 'tt0118147', 'tt0436613', 'tt1698010', 'tt1860355', 'tt0060371']"
17,"Biography,Documentary,Mystery",7.7,2,"['tt1568334', 'tt2714900']"
18,"Animation,Drama,Family",7.673333333333334,15,"['tt10477558', 'tt13429870', 'tt0113824', 'tt0327597', 'tt0983213', 'tt4769824', 'tt3666024', 'tt4489416', 'tt2140203', 'tt2576852', 'tt0116583', 'tt1572781', 'tt3398268', 'tt7236034', 'tt3901826']"
19,"Crime,Documentary,History",7.6625,8,"['tt23950956', 'tt2532528', 'tt2380247', 'tt6794424', 'tt0380268', 'tt1232207', 'tt5895028', 'tt0854678']"
20,"Documentary,Drama,Sport",7.65,2,"['tt2205904', 'tt0110057']"
21,"Biography,Comedy,Documentary",7.640000000000001,5,"['tt7689966', 'tt0109508', 'tt1396557', 'tt8610436', 'tt2246565']"
22,"Animation,Crime,Drama",7.6,2,"['tt1235830', 'tt0156887']"
23,"Biography,Documentary,Drama",7.6,7,"['tt11388580', 'tt1157605', 'tt7664504', 'tt5740866', 'tt28631109', 'tt0145046', 'tt11394180']"
24,"Biography,Documentary,News",7.6,2,"['tt0388789', 'tt3270538']"
25,"Documentary,History,Sport",7.6,2,"['tt0230591', 'tt21837726']"
26,"Drama,Family",7.583333333333333,30,"['tt0093342', 'tt0191043', 'tt0822832', 'tt10189300', 'tt10534500', 'tt5311546', 'tt5897636', 'tt0112445', 'tt7738784', 'tt0066279', 'tt0298228', 'tt0325675', 'tt3756788', 'tt0060164', 'tt0437800', 'tt0986264', 'tt1078588', 'tt0033729', 'tt1564349', 'tt18951176', 'tt0040458', 'tt0836700', 'tt0997246', 'tt0476735', 'tt2978462', 'tt3700392', 'tt5005684', 'tt0064541', 'tt0387059', 'tt2543472']"
27,"Documentary,Family",7.571428571428572,7,"['tt0297144', 'tt0318202', 'tt0428803', 'tt8969332', 'tt1014762', 'tt2458776', 'tt1222815']"
28,"Adventure,Comedy,War",7.566666666666667,3,"['tt0065938', 'tt0031398', 'tt0060474']"
29,"Biography,Documentary,Sport",7.553333333333334,15,"['tt1032821', 'tt1286821', 'tt8999372', 'tt0218043', 'tt13842562', 'tt1638364', 'tt21836538', 'tt5065822', 'tt7518466', 'tt1424432', 'tt2499076', 'tt7286916', 'tt10322274', 'tt0923752', 'tt5433114']"
30,"Drama,Film-Noir,Sport",7.55,2,"['tt0049291', 'tt0039204']"
31,"Documentary,History",7.545,20,"['tt4573394', 'tt8564902', 'tt0112651', 'tt6016744', 'tt0379225', 'tt0762111', 'tt0925248', 'tt13150630', 'tt3089388', 'tt8923482', 'tt5804038', 'tt9708358', 'tt0097372', 'tt3214002', 'tt8760684', 'tt21374850', 'tt8923484', 'tt16747572', 'tt0025913', 'tt1664894']"
32,"Documentary,Drama",7.516666666666667,12,"['tt5278464', 'tt0084628', 'tt1687247', 'tt0116913', 'tt0386032', 'tt1945228', 'tt0799954', 'tt0064921', 'tt12888462', 'tt11464826', 'tt1942884', 'tt8991268']"
33,"Comedy,Crime,Documentary",7.5,2,"['tt1587707', 'tt0124295']"
34,"Biography,Crime,Documentary",7.49375,16,"['tt1152758', 'tt1313104', 'tt15469820', 'tt2375605', 'tt3268458', 'tt1155592', 'tt1966604', 'tt5598216', 'tt0138563', 'tt15036416', 'tt5083702', 'tt0342172', 'tt5329376', 'tt0303356', 'tt4136056', 'tt5275892']"
35,"Comedy,Romance,War",7.475,4,"['tt0037077', 'tt0053143', 'tt0035446', 'tt0041498']"
36,"Drama,Fantasy,Music",7.466666666666666,3,"['tt1355630', 'tt0084503', 'tt0101765']"
37,"Drama,History,Music",7.466666666666666,3,"['tt2764784', 'tt0087188', 'tt0424205']"
38,"Film-Noir,Mystery,Thriller",7.466666666666666,3,"['tt0034248', 'tt0041959', 'tt0042994']"
39,"Biography,Documentary",7.46111111111111,36,"['tt0427312', 'tt1683048', 'tt4145178', 'tt0303353', 'tt10394738', 'tt19034332', 'tt2382298', 'tt28254460', 'tt7440432', 'tt0192335', 'tt11790780', 'tt12221748', 'tt16227014', 'tt1787660', 'tt2415458', 'tt6714534', 'tt7207238', 'tt0200849', 'tt11416746', 'tt1691152', 'tt17041964', 'tt6438096', 'tt18376122', 'tt6510332', 'tt14731254', 'tt4425064', 'tt1579361', 'tt19853258', 'tt21819250', 'tt0103882', 'tt0278736', 'tt0390538', 'tt4044364', 'tt6739646', 'tt6893836', 'tt7689964']"
40,"Adventure,Drama,War",7.458333333333333,12,"['tt9777644', 'tt0050212', 'tt0059418', 'tt10268488', 'tt0361748', 'tt0094716', 'tt0101465', 'tt0055796', 'tt0072684', 'tt0073341', 'tt0050490', 'tt0053935']"
41,"Biography,Documentary,History",7.454166666666666,24,"['tt0418753', 'tt0455507', 'tt2073029', 'tt4736550', 'tt0088275', 'tt13984924', 'tt3526810', 'tt1559549', 'tt2125501', 'tt9883832', 'tt1016268', 'tt1777551', 'tt2396566', 'tt5646136', 'tt3264102', 'tt7681902', 'tt8727582', 'tt9577852', 'tt0317910', 'tt1621444', 'tt3031654', 'tt3521134', 'tt3518012', 'tt3674140']"
42,"Biography,Drama,Musical",7.45,2,"['tt1485796', 'tt0049408']"
