,tconst,genres,averageRating,numVotes
0,tt0009968,"Drama,Romance",7.2,11237
1,tt0012494,"Drama,Fantasy,Horror",7.6,6831
2,tt0015324,"Action,Comedy,Romance",8.2,58675
3,tt0015400,"Adventure,Family,Fantasy",7.7,7138
4,tt0015532,"Adventure,Animation,Drama",7.8,7029
5,tt0018217,"Drama,History",7.4,8572
6,tt0019760,Documentary,8.3,28511
7,tt0021156,"Drama,Romance",7.0,7711
8,tt0021571,Drama,7.2,6531
9,tt0022286,"Crime,Drama",7.6,23403
10,tt0022958,"Drama,Romance",7.3,21168
11,tt0023622,"Comedy,Crime,Romance",7.9,16461
12,tt0023940,"Comedy,Mystery,Romance",7.4,7931
13,tt0024216,"Adventure,Horror",7.9,92284
14,tt0024264,"Drama,Family,Romance",7.2,8057
15,tt0027075,"Drama,History,Romance",7.8,6419
16,tt0027521,"Drama,Horror,Sci-Fi",7.0,5068
17,tt0027977,"Comedy,Drama,Romance",8.5,263824
18,tt0028096,"Drama,Thriller",7.5,15178
19,tt0028691,"Adventure,Drama,Family",7.9,11143
20,tt0029453,"Crime,Drama,Romance",7.7,8189
21,tt0029850,"Action,Biography,Drama",7.5,12443
22,tt0030643,"Crime,Drama,Romance",7.7,10125
23,tt0031235,Western,7.1,5876
24,tt0031252,"Drama,Romance,War",7.0,6898
25,tt0031334,"Adventure,Drama,Romance",7.4,6690
26,tt0031381,"Drama,Romance,War",8.2,338731
27,tt0031448,"Crime,Mystery,Thriller",7.4,11883
28,tt0031593,"Comedy,Drama,Romance",7.3,6608
29,tt0031679,"Comedy,Drama",8.1,123032
30,tt0032553,"Comedy,Drama,War",8.4,240900
31,tt0032599,"Comedy,Drama,Romance",7.8,64207
32,tt0033238,"Drama,Romance,War",7.7,11127
33,tt0033532,"Drama,Fantasy,Romance",7.6,5787
34,tt0033563,"Adventure,Animation,Drama",7.2,144089
35,tt0034583,"Drama,Romance,War",8.5,614833
36,tt0034862,"Comedy,Drama,Music",7.3,17755
37,tt0035169,"Comedy,Romance",7.5,13118
38,tt0035211,"Biography,Drama,Romance",7.6,12193
39,tt0035279,"Thriller,War",7.1,28367
40,tt0035979,"Comedy,Drama,Fantasy",7.3,12566
41,tt0036323,"Action,Drama,War",7.5,10158
42,tt0036695,"Comedy,Drama,Mystery",7.3,6624
43,tt0037101,"Crime,Drama,Film-Noir",7.5,15036
44,tt0037365,"Comedy,Crime,Film-Noir",7.3,6390
45,tt0037536,Drama,7.2,9509
46,tt0037794,"Crime,Film-Noir,Horror",7.2,5657
47,tt0037800,"Drama,Romance",7.4,10067
48,tt0037954,"Action,Adventure,Drama",7.3,5637
49,tt0038057,"Crime,Drama,Film-Noir",7.7,19679
50,tt0038109,"Film-Noir,Mystery,Romance",7.5,53177
51,tt0038348,"Drama,Fantasy,Romance",7.9,28495
52,tt0038574,"Adventure,Drama,Mystery",7.8,26802
53,tt0038733,"Drama,Fantasy,Romance",8.0,25613
54,tt0039211,"Crime,Drama,Film-Noir",7.2,6265
55,tt0039302,"Film-Noir,Thriller",7.5,22553
56,tt0039305,"Crime,Drama,Film-Noir",7.1,9099
57,tt0039661,"Drama,Film-Noir",7.7,13621
58,tt0040202,"Drama,Film-Noir",7.4,10658
59,tt0040427,"Crime,Film-Noir,Thriller",7.0,6905
60,tt0040522,Drama,8.3,178362
61,tt0040525,"Crime,Drama,Film-Noir",7.5,34270
62,tt0040558,"Drama,History,War",7.4,7941
63,tt0040705,"Drama,Fantasy,Mystery",7.6,7841
64,tt0040725,"Drama,Music,Romance",8.1,40116
65,tt0040823,"Drama,Film-Noir,Mystery",7.3,12783
66,tt0041154,"Comedy,Drama",8.2,19809
67,tt0041587,"Comedy,Drama,Romance",7.7,11010
68,tt0041716,"Comedy,Musical,Romance",7.3,19047
69,tt0041859,"Crime,Film-Noir,Sport",7.8,10282
70,tt0043132,"Crime,Drama,Film-Noir",7.6,10218
71,tt0043313,"Comedy,Drama,Romance",8.1,9902
72,tt0043879,"Drama,Film-Noir",7.2,8343
73,tt0044008,"Drama,Family,Fantasy",8.1,25981
74,tt0044502,"Drama,Film-Noir,Romance",7.0,7559
75,tt0044706,"Drama,Thriller,Western",7.9,111685
76,tt0044789,"Crime,Drama,Film-Noir",7.3,8388
77,tt0046487,Comedy,7.3,20582
78,tt0046816,"Drama,War",7.7,30683
79,tt0047573,"Horror,Sci-Fi",7.2,24795
80,tt0048140,"Comedy,Crime,Musical",7.1,19716
81,tt0049010,Drama,7.4,8351
82,tt0049513,"Adventure,Drama",7.3,22516
83,tt0050212,"Adventure,Drama,War",8.1,236661
84,tt0050307,"Comedy,Romance",7.2,9676
85,tt0050419,"Comedy,Musical,Romance",7.0,33610
86,tt0050458,Drama,7.6,5532
87,tt0050798,"Adventure,Drama,Family",7.2,15491
88,tt0050986,"Drama,Romance",8.1,116925
89,tt0051036,"Drama,Film-Noir",8.0,36543
90,tt0051365,"Comedy,Drama",7.5,11156
91,tt0051378,"Crime,Drama,Thriller",7.9,29342
92,tt0051525,"Crime,Drama",7.6,18261
93,tt0051758,"Biography,Crime,Drama",7.5,7498
94,tt0051790,"Biography,Drama,History",7.8,8201
95,tt0051899,Western,7.0,9503
96,tt0052311,"Crime,Drama,Film-Noir",8.0,111047
97,tt0052654,"Drama,History,War",8.0,8802
98,tt0052738,"Biography,Drama,Family",7.4,13842
99,tt0052832,"Drama,Romance",7.1,7319
100,tt0053137,"Drama,Romance,Sci-Fi",7.1,14662
101,tt0053793,Drama,7.7,13209
102,tt0054067,Horror,7.1,18104
103,tt0054152,"Comedy,Crime,Drama",7.2,6226
104,tt0054331,"Adventure,Biography,Drama",7.9,145169
105,tt0054389,"Crime,Drama,Thriller",7.4,20903
106,tt0054847,"Biography,Drama,History",7.2,16032
107,tt0055032,"Drama,Romance",7.7,45073
108,tt0056193,"Crime,Drama,Romance",7.5,110401
109,tt0056195,"Drama,Western",7.6,10207
110,tt0056262,"Comedy,Family,Musical",7.7,19498
111,tt0056541,"Drama,Romance",7.1,8661
112,tt0057413,"Comedy,Crime,Romance",7.0,57616
113,tt0057812,"Fantasy,Mystery,Western",7.1,5494
114,tt0057997,"Crime,Drama,Thriller",7.3,6634
115,tt0058150,"Action,Adventure,Thriller",7.7,205031
116,tt0058182,"Comedy,Musical",7.5,48764
117,tt0058262,"Crime,Drama,Mystery",7.0,9595
118,tt0058329,"Crime,Drama,Mystery",7.1,54706
119,tt0058390,"Crime,Drama",7.2,8946
120,tt0058557,"Crime,Drama",7.6,7610
121,tt0058946,"Drama,War",8.1,67104
122,tt0059037,Drama,7.2,18570
123,tt0059113,"Drama,Romance,War",7.9,83109
124,tt0059496,"Mystery,Thriller",7.1,6931
125,tt0059575,Drama,7.6,10908
126,tt0059749,"Drama,Thriller",7.5,19081
127,tt0060371,"Documentary,Sport",7.6,6421
128,tt0061385,"Comedy,Romance",7.0,20789
129,tt0061589,"Documentary,Music",7.9,10137
130,tt0061619,"Drama,Romance,Western",7.5,31161
131,tt0062138,"Crime,Drama,Thriller",7.3,24095
132,tt0062376,Drama,7.6,20790
133,tt0063522,"Drama,Horror",8.0,240951
134,tt0064106,"Drama,Thriller",7.3,9544
135,tt0064118,"Drama,War",7.4,10114
136,tt0064165,"Drama,Romance",7.4,5700
137,tt0065063,"Comedy,Crime",7.2,31769
138,tt0065571,Drama,7.9,34397
139,tt0066193,Comedy,7.0,9502
140,tt0066206,"Biography,Drama,War",7.9,109301
141,tt0066565,"Action,Adventure,Comedy",7.7,7996
142,tt0066580,"Documentary,History,Music",8.1,18690
143,tt0066993,"Biography,Drama,History",7.7,19103
144,tt0067128,"Action,Crime,Thriller",7.3,37555
145,tt0067185,"Comedy,Drama,Romance",7.9,82787
146,tt0067328,"Drama,Romance",8.0,53281
147,tt0067549,Drama,7.1,20591
148,tt0067803,"Drama,Romance",7.2,9332
149,tt0067927,"Action,Crime,Thriller",7.2,31016
150,tt0068815,"Action,Adventure",7.7,9052
151,tt0069113,"Action,Adventure,Drama",7.1,50042
152,tt0069436,"Adventure,Drama,Western",7.0,6651
153,tt0069762,"Action,Crime,Drama",7.7,79580
154,tt0070022,"Crime,Drama,Mystery",7.0,6570
155,tt0070077,"Crime,Drama",7.4,12482
156,tt0070608,"Adventure,Animation,Comedy",7.5,141370
157,tt0070643,Drama,7.2,19607
158,tt0070735,"Comedy,Crime,Drama",8.3,283638
159,tt0071249,"Action,Crime,Drama",7.4,21932
160,tt0071604,"Documentary,History,War",8.2,6253
161,tt0071771,"Comedy,Crime,Drama",7.1,21844
162,tt0071853,"Adventure,Comedy,Fantasy",8.2,577177
163,tt0071935,"Drama,Thriller",7.0,12394
164,tt0071994,"Comedy,Drama,Fantasy",7.3,23090
165,tt0073802,"Crime,Mystery,Thriller",7.4,64065
166,tt0074291,"Biography,Drama,History",7.0,8866
167,tt0074811,"Drama,Thriller",7.6,48406
168,tt0074860,"Crime,Drama,Thriller",7.4,71304
169,tt0074896,"Biography,Drama,History",8.1,51511
170,tt0075040,"Comedy,Drama,War",7.7,6607
171,tt0075244,"Documentary,Music",7.6,9156
172,tt0077280,"Biography,Drama,Music",7.2,10140
173,tt0077402,"Horror,Thriller",7.8,130483
174,tt0077838,"Biography,Documentary,Music",8.1,20576
175,tt0078355,Drama,8.1,5444
176,tt0078902,"Comedy,Drama,Sport",7.7,26056
177,tt0079095,Drama,7.7,15208
178,tt0079579,"Comedy,Drama,Romance",8.0,14565
179,tt0080117,"Crime,Drama,Romance",7.3,12597
180,tt0080439,"Comedy,Romance",7.6,9940
181,tt0080474,"Crime,Drama",7.1,19757
182,tt0080549,"Biography,Drama,Music",7.5,20872
183,tt0080798,"Crime,Drama,Thriller",7.1,12015
184,tt0081499,"Action,Adventure,Comedy",7.1,8389
185,tt0082183,"Adventure,Comedy,Crime",7.3,10917
186,tt0082474,"Adventure,Comedy,Crime",7.1,17056
187,tt0082484,"Adventure,Drama",7.3,24647
188,tt0082949,"Action,Crime,Drama",7.4,17761
189,tt0083791,"Adventure,Family,Fantasy",7.1,72885
190,tt0083967,"Biography,Drama,Romance",7.2,8766
191,tt0084555,Comedy,7.5,10655
192,tt0084805,"Comedy,Drama,Romance",7.4,116322
193,tt0084899,"Drama,Horror",7.0,10980
194,tt0085601,"Action,Adventure,Comedy",7.1,11195
195,tt0085794,"Comedy,Crime,Drama",7.8,121967
196,tt0085959,"Comedy,Musical",7.5,126257
197,tt0086190,"Action,Adventure,Fantasy",8.3,1138953
198,tt0086250,"Crime,Drama",8.3,935213
199,tt0086425,"Comedy,Drama",7.4,66701
200,tt0086541,"Horror,Sci-Fi,Thriller",7.2,105262
201,tt0086650,"Drama,Romance",7.1,7365
202,tt0087003,Comedy,7.4,27175
203,tt0087414,"Crime,Drama,Thriller",7.0,9749
204,tt0087538,"Action,Drama,Family",7.3,250758
205,tt0087650,"Comedy,Drama,Romance",7.9,5729
206,tt0087803,"Drama,Sci-Fi",7.1,81524
207,tt0087821,"Comedy,Drama,Romance",7.3,5514
208,tt0087884,Drama,8.1,124420
209,tt0088002,"Comedy,Crime,Thriller",7.2,5197
210,tt0088015,"Adventure,Drama,Family",7.3,12290
211,tt0088763,"Adventure,Comedy,Sci-Fi",8.5,1335476
212,tt0088939,Drama,7.7,98843
213,tt0089108,Comedy,8.0,7526
214,tt0089218,"Adventure,Comedy,Family",7.7,304524
215,tt0089643,"Comedy,Drama,Romance",7.0,7242
216,tt0089767,"Drama,Western",7.3,65991
217,tt0090015,"Documentary,History,War",8.7,10755
218,tt0090203,Drama,7.4,5457
219,tt0090248,"Action,Animation,Fantasy",7.0,17975
220,tt0090888,"Drama,Music,Mystery",7.1,18018
221,tt0090967,"Comedy,Crime,Drama",7.7,56064
222,tt0091042,Comedy,7.8,393930
223,tt0091064,"Drama,Horror,Sci-Fi",7.6,207004
224,tt0091251,"Drama,Thriller,War",8.4,102106
225,tt0091538,"Crime,Drama,Romance",7.3,19032
226,tt0092007,"Action,Adventure,Comedy",7.3,92702
227,tt0092804,"Biography,Drama,History",7.4,14653
228,tt0093342,"Drama,Family",8.1,19627
229,tt0093389,"Biography,Drama,History",7.7,113203
230,tt0093412,"Comedy,Drama,Thriller",7.1,14402
231,tt0093818,Comedy,7.4,36824
232,tt0094357,"Action,Crime,Drama",7.2,11545
233,tt0094812,"Comedy,Romance,Sport",7.0,60552
234,tt0095327,"Animation,Drama,War",8.5,322990
235,tt0095631,"Action,Comedy,Crime",7.5,96602
236,tt0096461,"Crime,Drama,Romance",7.0,12887
237,tt0097243,"Drama,Thriller",7.0,6352
238,tt0097499,"Biography,Drama,History",7.5,32013
239,tt0098213,Documentary,7.5,27683
240,tt0098360,"Action,Crime,Drama",7.1,13251
241,tt0098384,"Comedy,Drama,Romance",7.3,64440
242,tt0099685,"Biography,Crime,Drama",8.7,1282759
243,tt0099818,"Comedy,Crime,Drama",7.2,7910
244,tt0099902,"Drama,Romance",7.6,9148
245,tt0100142,"Comedy,Drama,Romance",7.3,12576
246,tt0100519,"Comedy,Drama",7.3,24108
247,tt0100935,"Crime,Drama,Thriller",7.2,102683
248,tt0101428,Drama,7.5,9631
249,tt0101748,"Comedy,Drama,Romance",7.3,10398
250,tt0101889,"Comedy,Drama,Fantasy",7.5,92189
251,tt0101921,Drama,7.7,85558
252,tt0101985,"Crime,Drama,Romance",8.2,13302
253,tt0104073,"Action,Crime,Thriller",7.0,14460
254,tt0104454,"Drama,Romance",7.4,36500
255,tt0104466,"Comedy,Drama,Romance",7.5,31554
256,tt0104561,"Comedy,Drama,Romance",8.1,24561
257,tt0104782,"Comedy,Drama,Fantasy",7.4,7403
258,tt0104860,"Comedy,Fantasy,Romance",8.3,9586
259,tt0105191,"Drama,Music,Romance",7.1,5484
260,tt0105888,"Adventure,Drama",7.9,7826
261,tt0107007,"Drama,History,War",7.6,31842
262,tt0107688,"Animation,Family,Fantasy",7.9,381913
263,tt0108052,"Biography,Drama,History",9.0,1478781
264,tt0108281,"Action,Comedy,Drama",7.2,10982
265,tt0108394,"Drama,Music,Mystery",7.8,112409
